pid, tgid, active partition, task partition, time, 10240:cf2cf7b8
385,385,0,0,4294912999,
3,3,0,0,4294913000,
384,384,0,0,4294913000,
3,3,0,0,4294913001,
385,385,0,0,4294913001,
3,3,0,0,4294913002,
384,384,0,0,4294913002,
3,3,0,0,4294913003,
385,385,0,0,4294913003,
3,3,0,0,4294913004,
384,384,0,0,4294913004,
3,3,0,0,4294913005,
385,385,0,0,4294913005,
3,3,0,0,4294913006,
384,384,0,0,4294913006,
3,3,0,0,4294913007,
385,385,0,0,4294913007,
3,3,0,0,4294913008,
384,384,0,0,4294913008,
3,3,0,0,4294913009,
385,385,0,0,4294913009,
3,3,0,0,4294913010,
384,384,0,0,4294913010,
3,3,0,0,4294913011,
385,385,0,0,4294913011,
3,3,0,0,4294913012,
384,384,0,0,4294913012,
3,3,0,0,4294913013,
385,385,0,0,4294913013,
3,3,0,0,4294913014,
384,384,0,0,4294913014,
3,3,0,0,4294913015,
385,385,0,0,4294913015,
3,3,0,0,4294913016,
384,384,0,0,4294913016,
3,3,0,0,4294913017,
385,385,0,0,4294913017,
3,3,0,0,4294913018,
384,384,0,0,4294913018,
3,3,0,0,4294913019,
385,385,0,0,4294913019,
3,3,0,0,4294913020,
384,384,0,0,4294913020,
3,3,0,0,4294913021,
385,385,0,0,4294913021,
3,3,0,0,4294913022,
384,384,0,0,4294913022,
3,3,0,0,4294913023,
385,385,0,0,4294913023,
3,3,0,0,4294913024,
384,384,0,0,4294913024,
3,3,0,0,4294913025,
385,385,0,0,4294913025,
3,3,0,0,4294913026,
384,384,0,0,4294913026,
3,3,0,0,4294913027,
385,385,0,0,4294913027,
3,3,0,0,4294913028,
384,384,0,0,4294913028,
3,3,0,0,4294913029,
385,385,0,0,4294913029,
3,3,0,0,4294913030,
384,384,0,0,4294913030,
3,3,0,0,4294913031,
385,385,0,0,4294913031,
3,3,0,0,4294913032,
384,384,0,0,4294913032,
3,3,0,0,4294913033,
385,385,0,0,4294913033,
3,3,0,0,4294913034,
384,384,0,0,4294913034,
3,3,0,0,4294913035,
385,385,0,0,4294913035,
3,3,0,0,4294913036,
384,384,0,0,4294913036,
3,3,0,0,4294913037,
385,385,0,0,4294913037,
3,3,0,0,4294913038,
384,384,0,0,4294913038,
3,3,0,0,4294913039,
385,385,0,0,4294913039,
3,3,0,0,4294913040,
384,384,0,0,4294913040,
3,3,0,0,4294913041,
385,385,0,0,4294913041,
3,3,0,0,4294913042,
384,384,0,0,4294913042,
3,3,0,0,4294913043,
385,385,0,0,4294913043,
3,3,0,0,4294913044,
384,384,0,0,4294913044,
3,3,0,0,4294913045,
385,385,0,0,4294913045,
3,3,0,0,4294913046,
384,384,0,0,4294913046,
3,3,0,0,4294913047,
385,385,0,0,4294913047,
3,3,0,0,4294913048,
384,384,0,0,4294913048,
3,3,0,0,4294913049,
385,385,0,0,4294913049,
3,3,0,0,4294913050,
384,384,0,0,4294913050,
3,3,0,0,4294913051,
385,385,0,0,4294913051,
3,3,0,0,4294913052,
384,384,0,0,4294913052,
3,3,0,0,4294913053,
385,385,0,0,4294913053,
3,3,0,0,4294913054,
384,384,0,0,4294913054,
3,3,0,0,4294913055,
385,385,0,0,4294913055,
3,3,0,0,4294913056,
384,384,0,0,4294913056,
3,3,0,0,4294913057,
385,385,0,0,4294913057,
3,3,0,0,4294913058,
384,384,0,0,4294913058,
3,3,0,0,4294913059,
385,385,0,0,4294913059,
3,3,0,0,4294913060,
384,384,0,0,4294913060,
3,3,0,0,4294913061,
385,385,0,0,4294913061,
3,3,0,0,4294913062,
384,384,0,0,4294913062,
3,3,0,0,4294913063,
385,385,0,0,4294913063,
3,3,0,0,4294913064,
384,384,0,0,4294913064,
3,3,0,0,4294913065,
385,385,0,0,4294913065,
3,3,0,0,4294913066,
384,384,0,0,4294913066,
3,3,0,0,4294913067,
385,385,0,0,4294913067,
3,3,0,0,4294913068,
384,384,0,0,4294913068,
3,3,0,0,4294913069,
385,385,0,0,4294913069,
3,3,0,0,4294913070,
384,384,0,0,4294913070,
3,3,0,0,4294913071,
385,385,0,0,4294913071,
3,3,0,0,4294913072,
384,384,0,0,4294913072,
3,3,0,0,4294913073,
385,385,0,0,4294913073,
3,3,0,0,4294913074,
384,384,0,0,4294913074,
3,3,0,0,4294913075,
385,385,0,0,4294913075,
3,3,0,0,4294913076,
384,384,0,0,4294913076,
3,3,0,0,4294913077,
385,385,0,0,4294913077,
3,3,0,0,4294913078,
384,384,0,0,4294913078,
3,3,0,0,4294913079,
385,385,0,0,4294913079,
3,3,0,0,4294913080,
384,384,0,0,4294913080,
3,3,0,0,4294913081,
385,385,0,0,4294913081,
3,3,0,0,4294913082,
384,384,0,0,4294913082,
3,3,0,0,4294913083,
385,385,0,0,4294913083,
3,3,0,0,4294913084,
384,384,0,0,4294913084,
3,3,0,0,4294913085,
385,385,0,0,4294913085,
3,3,0,0,4294913086,
384,384,0,0,4294913086,
3,3,0,0,4294913087,
385,385,0,0,4294913087,
3,3,0,0,4294913088,
4,4,0,0,4294913088,
384,384,0,0,4294913088,
3,3,0,0,4294913089,
385,385,0,0,4294913089,
3,3,0,0,4294913090,
384,384,0,0,4294913090,
3,3,0,0,4294913091,
385,385,0,0,4294913091,
3,3,0,0,4294913092,
384,384,0,0,4294913092,
3,3,0,0,4294913093,
385,385,0,0,4294913093,
3,3,0,0,4294913094,
384,384,0,0,4294913094,
3,3,0,0,4294913095,
385,385,0,0,4294913095,
3,3,0,0,4294913096,
384,384,0,0,4294913096,
3,3,0,0,4294913097,
385,385,0,0,4294913097,
3,3,0,0,4294913098,
384,384,0,0,4294913098,
3,3,0,0,4294913099,
385,385,0,0,4294913099,
3,3,0,0,4294913100,
384,384,0,0,4294913100,
3,3,0,0,4294913101,
385,385,0,0,4294913101,
3,3,0,0,4294913102,
384,384,0,0,4294913102,
3,3,0,0,4294913103,
385,385,0,0,4294913103,
3,3,0,0,4294913104,
384,384,0,0,4294913104,
3,3,0,0,4294913105,
385,385,0,0,4294913105,
3,3,0,0,4294913106,
384,384,0,0,4294913106,
3,3,0,0,4294913107,
385,385,0,0,4294913107,
3,3,0,0,4294913108,
384,384,0,0,4294913108,
3,3,0,0,4294913109,
385,385,0,0,4294913109,
3,3,0,0,4294913110,
384,384,0,0,4294913110,
3,3,0,0,4294913111,
385,385,0,0,4294913111,
3,3,0,0,4294913112,
384,384,0,0,4294913112,
3,3,0,0,4294913113,
385,385,0,0,4294913113,
3,3,0,0,4294913114,
384,384,0,0,4294913114,
3,3,0,0,4294913115,
385,385,0,0,4294913115,
3,3,0,0,4294913116,
384,384,0,0,4294913116,
3,3,0,0,4294913117,
385,385,0,0,4294913117,
3,3,0,0,4294913118,
384,384,0,0,4294913118,
3,3,0,0,4294913119,
385,385,0,0,4294913119,
3,3,0,0,4294913120,
384,384,0,0,4294913120,
3,3,0,0,4294913121,
385,385,0,0,4294913121,
3,3,0,0,4294913122,
384,384,0,0,4294913122,
3,3,0,0,4294913123,
385,385,0,0,4294913123,
3,3,0,0,4294913124,
384,384,0,0,4294913124,
3,3,0,0,4294913125,
385,385,0,0,4294913125,
3,3,0,0,4294913126,
384,384,0,0,4294913126,
3,3,0,0,4294913127,
385,385,0,0,4294913127,
3,3,0,0,4294913128,
384,384,0,0,4294913128,
3,3,0,0,4294913129,
385,385,0,0,4294913129,
3,3,0,0,4294913130,
384,384,0,0,4294913130,
3,3,0,0,4294913131,
385,385,0,0,4294913131,
3,3,0,0,4294913132,
384,384,0,0,4294913132,
3,3,0,0,4294913133,
385,385,0,0,4294913133,
3,3,0,0,4294913134,
384,384,0,0,4294913134,
3,3,0,0,4294913135,
385,385,0,0,4294913135,
3,3,0,0,4294913136,
384,384,0,0,4294913136,
3,3,0,0,4294913137,
385,385,0,0,4294913137,
3,3,0,0,4294913138,
384,384,0,0,4294913138,
3,3,0,0,4294913139,
